symbol,date      ,price
STK1  ,Jan 1 2000,39.81
STK1  ,Feb 1 2000,36.35
STK1  ,Mar 1 2000,43.22
STK1  ,Apr 1 2000,28.37
STK1  ,May 1 2000,25.45
STK1  ,Jun 1 2000,32.54
STK1  ,Jul 1 2000,28.4
STK1  ,Aug 1 2000,28.4
STK1  ,Sep 1 2000,24.53
STK1  ,Oct 1 2000,28.02
STK1  ,Nov 1 2000,23.34
STK1  ,Dec 1 2000,17.65
STK1  ,Jan 1 2001,24.84
STK1  ,Feb 1 2001,24
STK1  ,Mar 1 2001,22.25
STK1  ,Apr 1 2001,27.56
STK1  ,May 1 2001,28.14
STK1  ,Jun 1 2001,29.7
STK1  ,Jul 1 2001,26.93
STK1  ,Aug 1 2001,23.21
STK1  ,Sep 1 2001,20.82
STK1  ,Oct 1 2001,23.65
STK1  ,Nov 1 2001,26.12
STK1  ,Dec 1 2001,26.95
STK1  ,Jan 1 2002,25.92
STK1  ,Feb 1 2002,23.73
STK1  ,Mar 1 2002,24.53
STK1  ,Apr 1 2002,21.26
STK1  ,May 1 2002,20.71
STK1  ,Jun 1 2002,22.25
STK1  ,Jul 1 2002,19.52
STK1  ,Aug 1 2002,19.97
STK1  ,Sep 1 2002,17.79
STK1  ,Oct 1 2002,21.75
STK1  ,Nov 1 2002,23.46
STK1  ,Dec 1 2002,21.03
STK1  ,Jan 1 2003,19.31
STK1  ,Feb 1 2003,19.34
STK1  ,Mar 1 2003,19.76
STK1  ,Apr 1 2003,20.87
STK1  ,May 1 2003,20.09
STK1  ,Jun 1 2003,20.93
STK1  ,Jul 1 2003,21.56
STK1  ,Aug 1 2003,21.65
STK1  ,Sep 1 2003,22.69
STK1  ,Oct 1 2003,21.45
STK1  ,Nov 1 2003,21.1
STK1  ,Dec 1 2003,22.46
STK1  ,Jan 1 2004,22.69
STK1  ,Feb 1 2004,21.77
STK1  ,Mar 1 2004,20.46
STK1  ,Apr 1 2004,21.45
STK1  ,May 1 2004,21.53
STK1  ,Jun 1 2004,23.44
STK1  ,Jul 1 2004,23.38
STK1  ,Aug 1 2004,22.47
STK1  ,Sep 1 2004,22.76
STK1  ,Oct 1 2004,23.02
STK1  ,Nov 1 2004,24.6
STK1  ,Dec 1 2004,24.52
STK1  ,Jan 1 2005,24.11
STK1  ,Feb 1 2005,23.15
STK1  ,Mar 1 2005,22.24
STK1  ,Apr 1 2005,23.28
STK1  ,May 1 2005,23.82
STK1  ,Jun 1 2005,22.93
STK1  ,Jul 1 2005,23.64
STK1  ,Aug 1 2005,25.35
STK1  ,Sep 1 2005,23.83
STK1  ,Oct 1 2005,23.8
STK1  ,Nov 1 2005,25.71
STK1  ,Dec 1 2005,24.29
STK1  ,Jan 1 2006,26.14
STK1  ,Feb 1 2006,25.04
STK1  ,Mar 1 2006,25.36
STK1  ,Apr 1 2006,22.5
STK1  ,May 1 2006,21.19
STK1  ,Jun 1 2006,21.8
STK1  ,Jul 1 2006,22.51
STK1  ,Aug 1 2006,24.13
STK1  ,Sep 1 2006,25.68
STK1  ,Oct 1 2006,26.96
STK1  ,Nov 1 2006,27.66
STK1  ,Dec 1 2006,28.13
STK1  ,Jan 1 2007,29.07
STK1  ,Feb 1 2007,26.63
STK1  ,Mar 1 2007,26.35
STK1  ,Apr 1 2007,28.3
STK1  ,May 1 2007,29.11
STK1  ,Jun 1 2007,27.95
STK1  ,Jul 1 2007,27.5
STK1  ,Aug 1 2007,27.34
STK1  ,Sep 1 2007,28.04
STK1  ,Oct 1 2007,35.03
STK1  ,Nov 1 2007,32.09
STK1  ,Dec 1 2007,34
STK1  ,Jan 1 2008,31.13
STK1  ,Feb 1 2008,26.07
STK1  ,Mar 1 2008,27.21
STK1  ,Apr 1 2008,27.34
STK1  ,May 1 2008,27.25
STK1  ,Jun 1 2008,26.47
STK1  ,Jul 1 2008,24.75
STK1  ,Aug 1 2008,26.36
STK1  ,Sep 1 2008,25.78
STK1  ,Oct 1 2008,21.57
STK1  ,Nov 1 2008,19.66
STK1  ,Dec 1 2008,18.91
STK1  ,Jan 1 2009,16.63
STK1  ,Feb 1 2009,15.81
STK1  ,Mar 1 2009,17.99
STK1  ,Apr 1 2009,19.84
STK1  ,May 1 2009,20.59
STK1  ,Jun 1 2009,23.42
